AppID	AppName	AppLabelID	PlatformID	AppIndustry	Price	NumOfInstalls	AverageStar	WebLink	Description	IconURL	Deleted
207	Little Super Star - Fashion Dress Up	39	1	Princess Girl Games	0	100-500	0	https://play.google.com/store/apps/details?id=com.pgg.little.fashion.superstar	Little Superstar is bored of her dull routine school dresses and now she wants to try some cool dresses to be the perfect fashionista like sery !! WOAH! winters are here and its freezing cold that&#39;s why we have some awesome sweaters for little star!	//lh3.googleusercontent.com/9R2SwOVfcvt3c0EHjjmVPbi57DVyFhSNkozQPOfWFFw2EP8f32gH3bTWcD3CNS9jnQ=w300	0
208	Candy's Toy Shop	40	1	Libii	0	100-500	0	https://play.google.com/store/apps/details?id=com.libii.candytoystore	Calling everyone who has dreamed of having a toy shop: Candy&#39;s shop is now ready for you!	//lh3.googleusercontent.com/0Tv2nZiIMHhtw26zJKFuWyvRpOuR76ntP4mmN_nmB8wtGzHjBOU7mMQc7lCmUaXEgA=w300	0
209	Bloxels Star Wars	40	1	Pixel Press Technology, LLC	0	100-500	0	https://play.google.com/store/apps/details?id=com.projectpixelpress.BloxelsStarWars	Bloxels Star Wars is a hands-on platform to build, play and share your own Star Wars video games!	//lh3.googleusercontent.com/qo7xPUaOxLYD_YJW-kvxj2BpEO1BVfEK4uwhBWeFtbU4puRbSO2NAtUcByrW2Asb5VI=w300	0
210	Star Girl Nail Art - Color &amp; Design	39	1	Baca Baca Games	0	500-1,000	0	https://play.google.com/store/apps/details?id=com.bb.stargirl.nail.art	Hello gorgeous divas! Welcome to the world of amazing nail art designs.	//lh3.googleusercontent.com/q2p7dPsCj6kd5kQayj9jCh1zAyIG2KhkxR_1tzBdKgtvYzArYh3VmZHVuxH6AxXE2DQ=w300	0
211	Tooth Fairy Pillow Princess - Clean Teeth Brushing	39	1	Casual Girl Games For Free	0	100-500	0	https://play.google.com/store/apps/details?id=air.com.cg.tooth.fairy.pillow.princess.healthy.clean.teeth.brushing	Do you enjoy gifts and surprises? Come with us and enter into a new fantasy world with our tooth fairy princess! A tooth fairy with thousands of gifts to give to the kids that behave well! The better you behave, the more gifts you can have!	//lh3.googleusercontent.com/vGjxRPpf-y18Q2m496-3pe2RQvNmh-omTTedicQ6nWZRfnnL2wrwH18XxttkbrjgZ-k=w300	0
212	Actress Dress Up - Covet Fashion	39	1	Games For Girls	0	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.gfg.actress	Are you interested in celebrity fashion and the glam world of famous superstars, cinema directors, hot models and movie actresses? In this makeover game you can fantasize about being a Hollywood star while dressing girls up.	//lh3.googleusercontent.com/8wwPmRcFhK195g0HMcMxhhwCFM_5F20EDCkWD2WwMhjp0x5tbL8ZLpDtKb4OhkPF5Nw8=w300	0
213	Colorfeel: Flower Coloring Book	39	1	Coloring Games Free	0	100-500	0	https://play.google.com/store/apps/details?id=flowers.colorfeel.coloring.book	Classified illustration for Colorfeel app.	//lh3.googleusercontent.com/y61jbpps-5nrBMxR-AubCawdu7ESvzetnN7m3pIX9aQo0uo0wBeUsEGEvAzrztRdJw=w300	0
214	Cotton Candy Shop - kids cooking game	39	1	Kiwi Go	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.kiwigo.cottoncandyshop.free	Everykidlovessweetcottoncandy.Abigcandyshopisnewlyopeninthecity.Doyouwanttobethemanageroftheshopandlearntomakecottoncandy?Followtheinstructionsandturncolorfulsugarintocottoncandies.Serveyourcustomersdifferentflavorsofcottoncandies.Enlargeyourbusinessandboosttheincome.	//lh3.googleusercontent.com/5H8j9FWwHjWyf_BPVOpPQaxtwAxF6ocLq30pR57SGsp26vI7JBVKaAu550FXGjGIeiGF=w300	0
215	Gymnastics Dance Girl Dressup Salon Games	40	1	Rock Paper Scissors Games	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.rps.gymnasticsdance	You have been selected for the Olympics and now its your time to do some practice for the final competition. Get up and join the fitness girl club and take do the full fitness to get prepared for the Olympics! 	//lh3.googleusercontent.com/AJvFwV6BAdwJ_urz9nsa408ZwNe3APm8CQY0ofKMXpeKnDgEYWddLh2f_9K0NHoS5388=w300	0
216	Rainbow Fruit	39	1	Fruit Candy Bubble Puzzles	0	5,000-10,000	0	https://play.google.com/store/apps/details?id=com.rainbow.match.fruit.free		//lh3.googleusercontent.com/zNHXjTrPDmtUBqXVeGMDS_JCCwX4vRAVSG2Bps1AN1Q1YLGiZ9DnChKlX6n6o5-UHl0=w300	0
217	Masha and the Bear: Free Coloring Pages for Kids	40	1	Indigo Kids Education Games	0	100,000-500,000	0	https://play.google.com/store/apps/details?id=com.indigokids.mashacoloring	We present free coloring games for girls based on the popular cartoon &quot;Masha and the Bear&quot;! Our coloring book for kids contains kids coloring pages (coloring sheets) and a lot of goodies. Lets draw in Masha and the Bear painting apps from Indigo Kids and enjoy Masha coloring games!	//lh3.googleusercontent.com/yFE-teA_uH1yh02qK5qK_jzXSVXwHZXIZ3yCI1Vo8Bkgz_gTJ95Y6sJFrlIM39tTNQ=w300	0
218	Hello Kitty Coloring Book - Cute Drawing Game	39	1	App Family	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=se.appfamily.hellokitty.coloring.free	Spend some time with Hello Kitty and friends in 	//lh3.googleusercontent.com/yV1hzuOAIbqWHegv78KdYccheJ1oMvZwbP8YbAGvi17r4Nr6JDfPRj_AMNHunNm7yVE=w300	0
219	Scary Halloween Coloring Pages - Sugar Skulls	39	1	Baca Baca Games	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.bb.scary.halloween.coloring.skull	Happy Halloween guys! BACA BACA Games introduces new drawing and painting app for kids. Start drawing kids coloring book and enjoy Halloween adventure with Mexicans skulls, Halloween witches, Trick or Treat, pictures of pumpkin, Frankenstein, Monster mania and a lot in this coloring game. Recolor Halloween Coloring book pages helps you to relax and feel better, best for the Alzheimer patients. 	//lh3.googleusercontent.com/BYBBXata6XqHikxsJn41zE_EsO4kG6hTqJlDoH9N_ZT_7TXMw5OqTGExgws5oTcMKQ=w300	0
220	Furry Pet Hospital	40	1	Libii	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.libii.furrypethospital	Little doctor, Furry Pet Hospital needs you right now!	//lh3.googleusercontent.com/0rpVAkLq3cZhfmHjt7lD9j43RZigDkdPblFcoKBsH4JLgs_6PjBBKBMj8VdwD29u1qXw=w300	0
221	Royal Horse Club - Princess Lorna's Pony Friend	40	1	Libii	0	50,000-100,000	0	https://play.google.com/store/apps/details?id=com.libii.princessroyalhorse	Where can a princess find her dream horse? In the fairy tale or just over the hill?	//lh3.googleusercontent.com/JqhaMtRruhLPMmRH_BpGb6eVy9aT0Wt1hRVuDbHJTki-B3XA2JK907PlmmlAui9sIbQ=w300	0
222	Disney Color and Play	10	1	Disney Publishing Worldwide	0	1,000,000-5,000,000	0	https://play.google.com/store/apps/details?id=com.disneydigitalbooks.disneycolorandplay_goo	Now you can color and play with Lightning McQueen from the upcoming DisneyPixar film Cars 3! Join Lightning along with new characters Jackson Storm and Cruz Ramirez as they jump right off the page in full 3D color and play excitement! Youll also enjoy brand new augmented reality pages from Mickey and the Roadster Racers, Minnies Happy Helpers, Puppy Dog Pals, and Frozen.	//lh3.googleusercontent.com/9erU7V-KZWlR881iG54FuPTTaYdB9FDhyBYUnzMU6y1Abb3aEeHvXqka_DEGM8vXKXE=w300	0
